Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
3,1,64,3,2,93.01269524102256,2,0
1,0,49,3,2,73.55167232137133,0,0
3,1,17,2,3,9.56899117658833,1,1
3,0,44,1,1,79.24387576638442,2,1
1,1,30,4,1,83.65438428186174,0,1
1,1,46,4,1,76.29768285270478,1,0
3,1,6,2,1,80.95602743735398,0,0
2,1,37,3,2,83.38760428581574,1,0
3,0,24,0,2,22.70847374487369,0,0
3,1,46,3,1,27.390715876174976,0,1
3,0,53,2,3,65.20706355341684,2,1
3,0,60,4,0,91.24728239393902,0,1
1,0,63,3,0,35.03867531816699,1,0
3,0,32,4,3,60.889134200530385,1,0
2,1,33,0,1,69.88329602462758,2,0
1,0,67,4,2,47.93511712340873,1,1
2,0,18,4,0,72.80933321125598,1,1
2,0,25,1,4,90.46840730275645,1,0
2,1,54,1,4,64.28964669727458,0,1
2,1,58,1,3,56.27920088189014,0,0
1,1,67,4,1,46.68074416189221,1,0
1,1,46,2,0,59.86119573608194,2,1
2,0,24,4,1,38.75943292274761,0,0
2,0,32,2,0,42.19080046914268,2,1
1,1,47,2,3,55.52646057037653,1,0
1,0,23,1,3,11.328815677127611,1,1
1,0,66,3,4,26.757412137855653,0,1
3,0,27,0,1,56.57068450827385,1,1
3,1,2,1,4,45.99517359796205,0,0
3,1,17,1,1,36.617499661686004,1,0
2,0,33,3,4,74.40216799688363,1,1
3,1,9,0,2,70.90317270331715,0,1
2,1,43,4,2,20.8394221993714,0,0
2,1,48,4,2,88.46976596047664,0,0
3,1,39,1,2,52.065244508376736,1,0
2,1,42,0,0,75.43878655820932,1,1
3,0,26,1,2,59.449330679451926,2,0
3,1,50,2,3,99.78079851276512,0,0
1,0,25,1,3,76.47829640368816,1,1
3,0,24,1,0,72.1631438181286,1,0
1,1,13,4,2,78.96433420982135,0,0
3,0,60,4,2,18.597158627104612,2,0
3,0,7,4,2,24.431736351099012,0,1
1,0,57,2,4,72.83608781124335,2,1
1,1,36,4,1,51.92824127743195,1,1
3,1,45,0,4,76.69035272671107,2,1
2,0,20,3,1,14.777022920693776,1,1
1,1,65,0,2,55.9657283910365,0,1
2,1,8,0,2,40.98804872790699,0,1
2,1,16,4,4,48.41502083175944,0,0
2,1,14,3,4,62.37599784688869,2,0
1,0,76,3,1,52.71739300894036,1,1
2,0,15,3,3,56.28676052571949,0,0
1,1,66,2,1,51.20396078958274,0,0
2,1,32,4,4,43.85074182312186,1,1
3,0,63,3,4,78.32878815683328,0,0
3,0,51,2,0,6.159291870214229,1,0
1,1,25,1,4,61.85205661449657,1,0
3,0,58,1,0,58.72329299568251,1,0
3,1,63,2,3,73.03701209963046,1,0
2,1,62,2,1,61.90778965384602,1,1
1,0,22,4,1,83.54588864186243,2,1
2,0,58,4,0,96.11210548358264,0,1
2,1,58,1,1,37.53980443196162,2,0
2,1,49,3,4,26.598343387848768,0,1
2,0,52,1,2,45.241701929945876,2,0
2,1,42,3,0,32.35331356519398,1,0
2,0,70,3,1,63.42027499950217,0,0
2,1,15,4,0,91.62597884008164,0,0
1,0,54,0,0,18.21603844359088,2,1
3,0,60,0,2,14.575487286509217,2,1
2,0,8,2,4,29.32147552609791,0,0
2,1,53,4,0,73.97908067592807,2,1
2,1,60,3,1,61.33147599958805,2,0
2,0,5,0,3,14.710203101393962,2,1
2,1,68,3,0,92.28129961477092,1,1
2,0,6,0,0,80.05804052678823,1,0
3,0,47,0,2,7.187147454825563,2,1
3,1,55,0,4,66.87988504388338,2,0
2,1,40,4,3,78.26843350937511,1,1
3,0,52,1,1,40.571360123440094,1,0
1,1,16,3,3,11.547546239885785,0,0
2,1,13,4,1,12.34550122143479,0,1
1,0,30,4,4,14.903461774921903,1,1
1,0,19,4,1,84.84176503814018,2,0
2,1,17,4,2,91.51518883429274,2,1
3,0,63,4,2,16.667024275344712,2,1
1,0,19,2,2,27.411073286532712,2,0
2,1,58,3,2,20.724448484892527,0,0
1,0,55,4,3,22.700483551941463,1,1
1,0,62,3,4,84.56162495523675,2,0
1,1,23,2,1,36.5539092022192,0,0
1,1,9,2,1,34.58720508433591,2,0
3,0,12,3,2,26.6025839833257,1,1
1,0,1,0,2,62.74996741045457,0,1
1,1,58,1,0,41.03404134662714,1,0
1,1,1,0,4,75.70371692511245,1,1
3,1,34,0,3,24.53008179568556,0,0
1,1,48,0,1,79.84003942787677,0,1
1,0,1,4,0,62.353545514363205,0,0
3,1,16,2,0,15.855393505290337,0,0
3,1,61,0,1,44.37793549934463,0,1
3,0,64,2,3,87.0342233582309,0,0
1,1,63,3,0,92.68122202085605,0,1
3,0,69,1,0,49.241511620287255,2,1
3,1,22,3,4,50.67951291846199,1,0
1,1,67,3,3,92.25319886923361,0,0
3,1,76,4,0,60.77148129297389,2,1
1,0,26,1,3,8.120433673126643,2,0
2,0,16,3,1,91.71119897351724,2,0
3,1,51,3,2,28.58151206192943,1,0
2,0,57,1,0,59.875035638696986,0,0
1,0,29,1,4,20.723765155657514,2,0
3,0,78,3,1,8.218520223426523,1,1
1,0,69,1,3,34.58995125761195,1,1
2,0,47,3,1,79.14709221687832,1,0
1,0,62,3,0,31.370781399794723,2,0
3,1,69,4,3,25.90923533770422,0,0
3,1,76,0,2,25.204674512416496,2,1
2,0,16,3,1,53.941499828647196,2,0
1,1,48,2,0,97.67642498986184,0,1
3,1,39,0,4,48.60395386161624,0,1
